epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,421.434,1.23686,1.27318,1.05716,0.82518,0.43695,0.75346,0.52237,1.16804,2.51327,1.01511,0.000295494,0.000295494,0.000295494
74,427.165,1.27121,1.37075,1.08973,0.82518,0.43695,0.75346,0.52237,1.16804,2.51327,1.01511,0.000289271,0.000289271,0.000289271
75,432.956,1.24096,1.31893,1.05053,0.80742,0.45562,0.81733,0.57727,1.09694,2.40736,0.98963,0.000282765,0.000282765,0.000282765
76,438.669,1.19967,1.19293,1.03841,0.80742,0.45562,0.81733,0.57727,1.09694,2.40736,0.98963,0.000275976,0.000275976,0.000275976
77,444.472,1.15556,1.18974,0.9966,0.80742,0.45562,0.81733,0.57727,1.09694,2.40736,0.98963,0.000268904,0.000268904,0.000268904
78,450.271,1.19989,1.21893,1.06431,0.84537,0.59296,0.86764,0.64124,1.04978,2.29471,0.97764,0.000261548,0.000261548,0.000261548
79,456.044,1.18254,1.14246,1.02802,0.84537,0.59296,0.86764,0.64124,1.04978,2.29471,0.97764,0.00025391,0.00025391,0.00025391
80,461.802,1.2203,1.27336,1.07872,0.84537,0.59296,0.86764,0.64124,1.04978,2.29471,0.97764,0.000245989,0.000245989,0.000245989
81,467.622,1.20916,1.36124,1.02084,0.81131,0.62701,0.88567,0.6464,1.0579,2.22482,0.98352,0.000237786,0.000237786,0.000237786
82,473.366,1.17673,1.23458,1.06454,0.81131,0.62701,0.88567,0.6464,1.0579,2.22482,0.98352,0.000229299,0.000229299,0.000229299
83,479.17,1.15069,1.26598,1.00063,0.81131,0.62701,0.88567,0.6464,1.0579,2.22482,0.98352,0.000220529,0.000220529,0.000220529
84,484.917,1.19485,1.16888,1.00695,0.81303,0.65071,0.90283,0.66741,1.05318,2.16128,0.97953,0.000211476,0.000211476,0.000211476
85,490.745,1.29163,1.2274,1.05748,0.81303,0.65071,0.90283,0.66741,1.05318,2.16128,0.97953,0.000202141,0.000202141,0.000202141
86,496.496,1.20502,1.17878,1.07571,0.81303,0.65071,0.90283,0.66741,1.05318,2.16128,0.97953,0.000192522,0.000192522,0.000192522
87,502.251,1.22765,1.20041,1.0716,0.81303,0.65071,0.90283,0.66741,1.05318,2.16128,0.97953,0.00018262,0.00018262,0.00018262
88,508.035,1.17786,1.13259,1.01476,0.8121,0.63544,0.93065,0.7129,1.04933,2.04204,0.97116,0.000172436,0.000172436,0.000172436
89,513.778,1.16531,1.13089,1.01569,0.8121,0.63544,0.93065,0.7129,1.04933,2.04204,0.97116,0.000161969,0.000161969,0.000161969
